Price,Close,High,Low,Open,Volume
Ticker,NKE,NKE,NKE,NKE,NKE
Date,,,,,
2009-01-02,10.635753631591797,10.743994792118672,10.084522539811234,10.212808926100253,12028800
2009-01-05,10.711921691894531,10.778069780653517,10.483411502812707,10.547554686953323,12913200
2009-01-06,10.495438575744629,10.82417258372153,10.383187621825684,10.78408290270426,15290400
2009-01-07,10.114590644836426,10.423280282883319,10.082519043782675,10.345105803105259,20164400
2009-01-08,10.301002502441406,10.303007406733359,9.966255362498,10.08051043843711,15730000
2009-01-09,9.944210052490234,10.379181174038836,9.896102270303954,10.313033833760864,13246400
2009-01-12,10.046436309814453,10.11659344823901,9.813917059320087,9.902114517379859,13730400
2009-01-13,9.922155380249023,10.212804529165487,9.843980945051163,9.984294406388095,15579200
2009-01-14,9.350882530212402,9.713692262190488,9.25466699199203,9.66558525772735,27404000
2009-01-15,9.413025856018066,9.495209400308843,9.164471082154598,9.35088754487593,16433600
2009-01-16,9.380948066711426,9.501217092418072,9.194531726816038,9.49720804842982,14116800
2009-01-20,8.847759246826172,9.409012520124099,8.819696697858342,9.246650411196766,14745600
2009-01-21,9.15243911743164,9.168475295496862,8.727490339115008,8.958004663949641,13943600
2009-01-22,9.146424293518066,9.392974752224667,8.855775117683695,9.026155273527852,14369600
2009-01-23,9.156447410583496,9.274711537845228,8.827713433692443,8.974040105618485,11378800
2009-01-26,9.15444278717041,9.437074676200309,9.020143243683908,9.178497053032753,8005200
2009-01-27,9.122369766235352,9.252661009618654,8.990074383334766,9.204553250088034,9689200
2009-01-28,9.54130744934082,9.69164318077779,9.280725667779487,9.284734712375455,11910800
2009-01-29,9.218587875366211,9.557344132834658,9.184511376823062,9.44709807688374,8737600
2009-01-30,9.070259094238281,9.318814597022463,9.008120027380398,9.278724901135034,10670000
2009-02-02,8.905887603759766,9.080276814867966,8.78361443615452,8.933950147541893,10016400
2009-02-03,9.280723571777344,9.318809104514086,8.841743610395634,8.955998679312064,11098400
2009-02-04,9.176494598388672,9.30678589699547,9.07226171243268,9.304780991981518,15054800
2009-02-05,9.461132049560547,9.507234931027975,9.086295046570694,9.176495904206305,14454000
2009-02-06,9.757789611816406,9.845986284002086,9.380947894937696,9.48518074278274,13866800
2009-02-09,9.575385093688965,9.769819574337399,9.449102850045856,9.769819574337399,11381200
2009-02-10,9.030165672302246,9.575383476248566,8.97203567548358,9.47515966020826,18016400
2009-02-11,8.88183307647705,9.098316078212974,8.693411850629747,9.096311938737674,23980000
2009-02-12,8.911904335021973,8.94197179512696,8.60722374690405,8.757559518134435,14872800
2009-02-13,8.70544147491455,9.026157408106792,8.661342747357955,8.86579944151067,12082400
2009-02-17,8.406773567199707,8.56312324302829,8.292518476005963,8.56312324302829,22278000
2009-02-18,8.723483085632324,8.807670743818283,8.408780290637207,8.482945717798248,23450400
2009-02-19,8.581165313720703,8.895868104928345,8.486954660996448,8.807670637817228,13044400
2009-02-20,8.605219841003418,8.691412413363825,8.402767235357887,8.48294662139227,12084000
2009-02-23,8.340625762939453,8.799651005742518,8.300536085181426,8.709449421948705,12916800
2009-02-24,8.607220649719238,8.643301283003215,8.116124585464998,8.346638892949295,13858000
2009-02-25,8.448872566223145,8.651324447642272,8.330608368766194,8.547091530845686,15884800
2009-02-26,8.224365234375,8.525036650865204,8.218352050732221,8.519023467222425,12648800
2009-02-27,8.324590682983398,8.454881961704888,8.033942201392096,8.064008890187521,18738400
2009-03-02,7.96980094909668,8.276486478284214,7.9437432962443815,8.184280711312933,17423200
2009-03-03,8.027925491333008,8.268462742217803,8.021912308571112,8.092068656282708,17107600
2009-03-04,8.529047966003418,8.683392759325784,8.166238182868351,8.166238182868351,16695200
2009-03-05,8.053194999694824,8.45645966051579,7.952378834489583,8.34152929371512,23676800
2009-03-06,8.053194999694824,8.248778606326209,7.863660886008838,8.115701299021943,23967200
2009-03-09,7.7769622802734375,8.081427661386016,7.710423982475081,7.934235319766491,20695200
