Price,Close,High,Low,Open,Volume
Ticker,CAT,CAT,CAT,CAT,CAT
Date,,,,,
2009-01-02,30.23394203186035,30.279057502387904,28.816020570485005,28.9449229685389,7117200
2009-01-05,29.698989868164062,30.369277674872805,29.524972061287176,30.227487300038504,11098700
2009-01-06,29.518512725830078,30.16302174804736,29.26715460054243,30.15657773961218,10863400
2009-01-07,28.14571762084961,29.389620663562813,27.84279994677973,29.14470892003528,9026500
2009-01-08,28.371292114257812,28.42929803413164,27.404528422098853,27.668777066278015,9384200
2009-01-09,27.84279441833496,28.397072653769694,27.230510263875498,28.300395302526084,8872300
2009-01-12,26.54732894897461,27.77834123186557,26.186405426414183,27.713891305296094,9583700
2009-01-13,26.68268394470215,26.998492100515108,26.134849606806377,26.495775672057437,9281600
2009-01-14,25.361440658569336,25.99950596464126,24.652481392807587,25.780372698360875,17261700
2009-01-15,25.661108016967773,26.045470999455254,24.293037732253566,25.511271937032962,15448300
2009-01-16,25.76534652709961,26.442868258931995,24.794668599786622,26.442868258931995,12890100
2009-01-20,24.964040756225586,25.817457455964377,24.75557297211309,25.504755779795634,11889900
2009-01-21,25.76534652709961,25.869580448525152,24.573171206115752,25.582937785888085,10287000
2009-01-22,24.253963470458984,25.40705310175467,23.667648351498737,25.335391785128323,19268200
2009-01-23,23.231157302856445,24.25395343387059,22.8077055990033,23.446141163772488,22677400
2009-01-26,21.283283233642578,22.306081863693354,20.65136616339477,21.889143687018578,47390400
2009-01-27,21.055265426635742,21.771873101765856,20.911942897556944,21.654612151311856,20354500
2009-01-28,21.498268127441406,21.830512995952493,21.25071161680336,21.66764732832036,13466700
2009-01-29,20.74909019470215,21.276774708837262,20.605767585074503,21.24420206623098,14575000
2009-01-30,20.09762191772461,20.670908472094485,19.582965855533388,20.573189328374955,20956900
2009-02-02,19.732799530029297,20.06504430834844,19.283290061470897,19.609021308311398,16966700
2009-02-03,19.537363052368164,20.21488474681716,19.420099586593047,19.420099586593047,18880200
2009-02-04,19.934762954711914,20.56668145591771,19.674178069810903,19.83052900075151,17419200
2009-02-05,20.592731475830078,20.90543319968127,19.67416938541334,19.77188851879606,17793300
