Price,Close,High,Low,Open,Volume
Ticker,HD,HD,HD,HD,HD
Date,,,,,
2009-01-02,15.958345413208008,15.998027248000682,15.184567294668476,15.257316063699024,14902500
2009-01-05,16.341928482055664,16.454357830160554,15.74671480561562,15.885598711591188,22570900
2009-01-06,16.705669403076172,16.857779311256845,16.282406611122088,16.49403800709913,22856600
2009-01-07,16.24934196472168,16.639537909276704,16.156753524123165,16.44774738783365,19857300
2009-01-08,16.130294799804688,16.17658900815511,15.673965093416912,15.951731604942005,17319800
2009-01-09,15.779781341552734,16.18981685399498,15.568149946560268,16.18981685399498,16927400
2009-01-12,15.191181182861328,15.845916330602652,14.959710116555838,15.773168821802086,23560200
2009-01-13,14.886958122253418,15.277153922981553,14.715007323506914,15.184564255088862,20440300
2009-01-14,14.490154266357422,14.721626633135156,14.338044322431994,14.648877850639117,20531200
2009-01-15,15.08536148071289,15.41603578658556,14.324810829490227,14.496761619914698,25999400
2009-01-16,15.34329891204834,15.462340684924635,14.926648291999951,15.435887378093206,20942600
2009-01-20,14.543060302734375,15.343293025498548,14.443858232685331,15.1448876239777,20339500
2009-01-21,14.734854698181152,14.840670426668169,14.285137221399847,14.741468338889465,19667200
2009-01-22,14.529826164245605,14.781139301910834,14.212379185384211,14.490145607243473,22725600
2009-01-23,14.364492416381836,14.536443219056785,14.086725929202679,14.13963377145478,20867100
2009-01-26,15.032459259033203,15.303612190249936,14.582741833184134,14.61581003298059,34329500
2009-01-27,14.62903118133545,15.138268630532359,14.424012212796919,15.039066595567887,21691000
2009-01-28,15.211030960083008,15.363140966942213,14.748086034989367,14.939877900404099,20543500
2009-01-29,14.549670219421387,15.263926707008814,14.490148740337233,14.880344542590056,18030700
2009-01-30,14.238835334777832,14.781140966770327,14.119792388940981,14.69516494525602,27041800
2009-02-02,14.26529598236084,14.609197723015098,13.961076085074886,14.02720996784282,17971800
2009-02-03,14.496764183044434,14.576126585511549,13.775893967873309,14.52983111490922,17471100
2009-02-04,14.371109962463379,14.595968668539173,14.219000032301164,14.30497482630765,18486300
2009-02-05,14.814204216003418,14.847272393544756,14.12640252162949,14.205763624884716,24668100
2009-02-06,15.56153678894043,15.773168190476385,14.794372327661263,14.80759834419027,31085500
2009-02-09,15.270537376403809,15.627664920064296,14.920022207869572,15.521849258133619,16315200
2009-02-10,14.688559532165527,15.363135761985012,14.549676858544286,15.144890659563767,21897800
2009-02-11,14.642268180847168,14.880354252543304,14.483544553524165,14.787765785294035,17896200
2009-02-12,14.536442756652832,14.589350597221937,13.987523437714952,14.351265945372171,23454000
2009-02-13,14.033817291259766,14.655485348541422,14.020591277513475,14.404173427448457,18598200
2009-02-17,13.18729305267334,13.722985131098648,13.134385208648895,13.689918201616809,35715200
2009-02-18,13.094704627990723,13.398925706202078,12.850006299081983,13.392312067390677,23374800
2009-02-19,13.33278751373291,13.517965573603933,13.180677640315107,13.193904914896395,20353800
2009-02-20,12.869848251342773,13.392314457899346,12.678057737268295,13.015345808319465,29576700
2009-02-23,12.373833656311035,13.121158398828829,12.063000219293109,12.850005530884511,26930200
2009-02-24,13.670080184936523,13.742828958925276,12.856621437585588,12.995504084557458,37719500
